Sending logstash logs to /var/log/logstash/logstash.log.
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.memoryStats.numBytesAllocated 679280 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.memoryStats.numMallocs 134533 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.memoryStats.numFrees 128790 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.memoryStats.lastGCPauseTimeNS 9187075 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.legacyAgentListener.receivedMessageCount 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.legacyAgentListener.receivedByteCount 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.dropsondeAgentListener.receivedMessageCount 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.dropsondeAgentListener.receivedByteCount 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.legacyUnmarshaller.unmarshalErrors 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.EventUnmarshaller.logMessageTotal 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.EventUnmarshaller.valueMetricReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.EventUnmarshaller.counterEventReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.EventUnmarshaller.errorReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.EventUnmarshaller.containerMetricReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.EventUnmarshaller.httpStartReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.EventUnmarshaller.httpStopReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.EventUnmarshaller.httpStartStopReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.EventUnmarshaller.unmarshalErrors 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.MessageAggregator.httpStartReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.MessageAggregator.httpStopReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.MessageAggregator.httpStartStopEmitted 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.MessageAggregator.uncategorizedEvents 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.MessageAggregator.httpUnmatchedStartReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.MessageAggregator.httpUnmatchedStopReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.MessageAggregator.counterEventReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.eventMarshaller.errorMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.eventMarshaller.containerMetricMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.eventMarshaller.httpStartMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.eventMarshaller.httpStopMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.eventMarshaller.httpStartStopMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.eventMarshaller.logMessageMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.eventMarshaller.valueMetricMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.eventMarshaller.counterEventMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.eventMarshaller.marshalErrors 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.numCpus 4 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.numGoRoutines 29 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.memoryStats.numBytesAllocatedHeap 806400 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.memoryStats.numBytesAllocatedStack 475136 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.memoryStats.numBytesAllocated 806400 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.memoryStats.numMallocs 114836 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.memoryStats.numFrees 106922 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.memoryStats.lastGCPauseTimeNS 581348 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.legacyAgentListener.receivedMessageCount 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.legacyAgentListener.receivedByteCount 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.dropsondeAgentListener.receivedMessageCount 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.dropsondeAgentListener.receivedByteCount 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.legacyUnmarshaller.unmarshalErrors 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.EventUnmarshaller.logMessageTotal 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.EventUnmarshaller.counterEventReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.EventUnmarshaller.errorReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.EventUnmarshaller.containerMetricReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.EventUnmarshaller.httpStartReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.EventUnmarshaller.httpStopReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.EventUnmarshaller.httpStartStopReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.EventUnmarshaller.valueMetricReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.EventUnmarshaller.unmarshalErrors 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.MessageAggregator.httpStartReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.MessageAggregator.httpStopReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-134.MetronAgent.MessageAggregator.httpStartStopEmitted 0 1438627852
